TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,AccountDestinoID,Currency,TransactionStatus,Motivo
TX000041,AC00421,328.47,2023-07-31 18:39:50,Debit,San Antonio,D000557,6.234.101.35,M014,ATM,AC00328,USD,Completed,OK
TX000042,AC00480,34.02,2023-01-09 16:13:21,Debit,Philadelphia,D000627,109.105.179.186,M046,Online,AC00113,USD,completed,OK
TX000043,AC00120,241.42,04-20-2023,Credit,Charlotte,D000198,60.89.202.192,,Online,AC00433,USD,Completed,OK
TX000044,AC00117,55.32,12/04/2023 16:03,Debit,Tucson,D000197,173.135.78.201,M009,ATM,AC00029,USD,Success,OK
TX000045,AC00011,304.31,2023-07-26 16:52:28,Debit,Louisville,D000685,77.208.193.198,M005,Branch,AC00018,USD,COMPLETED,OK
TX000046,AC00401,435.27,04/10/2023 17:49,Debit,Chicago,D000297,197.162.55.147,M051,Branch,AC00206,USD,COMPLETED,OK
TX000047,AC00282,164.49,2023-12-13 16:01:38,Debit,Baltimore,D000103,113.115.81.178,M070,Branch,AC00109,USD,completed,OK
TX000048,AC00439,510.24,09-Oct-2023 04:29 PM,Debit,Oklahoma City,D000397,186.135.2.148,M090,Online,AC00291,USD,Completed,OK
TX000049,AC00296,626.9,11-27-2023,Debit,Denver,D000284,93.146.251.20,M023,Online,AC00162,,Completed,OK
TX000050,AC00471,22.01,2023-03-27 16:45:18,Credit,Sacramento,D000304,124.6.134.78,M055,Online,AC00256,USD,Completed,OK
TX000051,AC00159,425.34,2023/02/13,Credit,Kansas City,D000661,139.23.212.102,M040,Online,AC00470,USD,COMPLETED,OK
TX000052,AC00482,424.56,2023-02-21 17:45:55,Debit,Omaha,D000598,179.43.245.131,M015,Online,AC00074,USD,Success,OK
TX000053,AC00115,85.43,2023-06-07 16:45:34,Debit,  VIRGINIA BEACH  ,D000235,194.174.252.1,M078,Branch,AC00128,USD,completed,OK
TX000054,AC00055,169.5,09-07-2023,Debit,San Diego,D000442,42.219.228.159,M036,,AC00277,USD,Completed,OK
TX000055,AC00419,104.63,2023-03-29 17:47:16,Debit,Omaha,D000642,186.135.2.148,M095,ATM,AC00300,USD,COMPLETED,OK
TX000056,AC00374,316.95,2023-08-04 17:53:40,Debit,Mesa,D000013,81.102.230.41,M052,Branch,AC00299,USD,Success,OK
TX000057,AC00271,60.54,2023-12-14 17:52:37,Credit,Columbus,D000462,1.198.76.182,M095,Branch,AC00113,USD,declined,Fondos insuficientes
TX000058,AC00456,292.56,03/03/2023 17:37,Credit,Dallas,D000311,198.73.211.114,M075,Branch,AC00071,USD,completed,OK
TX000059,AC00143,386.52,06-09-2023,Debit,Indianapolis,D000145,186.54.68.246,M064,Branch,AC00047,USD,COMPLETED,OK
TX000060,AC00427,112.07,02/10/2023 16:35,Debit,Kansas City,D000089,198.166.198.233,M064,Branch,AC00442,USD,COMPLETED,OK
TX000061,AC00438,568.52,06-Oct-2023 06:44 PM,Debit,Indianapolis,D000233,27.143.109.203,M094,ATM,AC00322,USD,completed,OK
TX000062,AC00002,263.99,2023-05-16 16:07:30,Debit,Dallas,D000285,7.146.35.122,M087,Branch,AC00350,USD,Success,OK
TX000063,AC00425,349.64,07/11/2023 16:48,Debit,Las Vegas,D000516,9.230.41.239,,Online,AC00033,USD,completed,OK
TX000064,AC00325,601.4,30/05/2023 17:43,Credit,Philadelphia,D000548,125.225.212.244,M001,Branch,AC00306,USD,Success,OK
TX000065,AC00434,5.77,02/11/2023 16:01,Debit,Charlotte,D000461,155.164.18.235,M071,Online,AC00271,USD,Success,OK
TX000066,AC00242,201.33,2023-03-29 17:00:31,Credit,Nashville,D000098,145.246.171.225,M003,Branch,AC00285,USD,completed,OK
TX000067,AC00319,298.42,25-Apr-2023 04:11 PM,Debit,Indianapolis,D000435,92.214.76.157,M005,Branch,AC00006,USD,Completed,OK
TX000068,AC00460,521.06,2023/04/18,Debit,Albuquerque,D000305,131.41.45.13,M063,Branch,AC00059,USD,completed,OK
TX000069,AC00461,117.28,2023-02-09 16:34:53,Credit,Austin,D000128,46.150.175.171,M057,Online,AC00275,USD,completed,OK
TX000070,AC00395,189.12,13/11/2023 16:42,Credit,  INDIANAPOLIS  ,D000684,125.89.163.224,M040,Branch,AC00394,USD,completed,OK
TX000071,AC00217,133.55,2023-07-18 16:12:00,Debit,Atlanta,D000201,40.226.196.34,M091,ATM,AC00058,USD,Completed,OK
TX000072,AC00053,143.21,01-13-2023,Debit,Dallas,D000410,65.164.3.100,M066,Online,AC00082,,COMPLETED,OK
TX000073,AC00282,24.77,04/07/2023 18:20,Debit,Boston,D000180,9.230.41.239,M070,ATM,AC00490,USD,COMPLETED,OK
TX000074,AC00110,233.92,2023/10/20,Credit,Jacksonville,D000295,152.140.239.181,M046,,AC00370,,FAILED,Fondos insuficientes
TX000075,AC00265,1212.51,04-Oct-2023 04:36 PM,Debit,Indianapolis,D000231,193.83.0.183,M036,Branch,AC00257,USD,completed,OK
TX000076,AC00239,232.12,2023-12-28 17:31:03,Debit,Omaha,D000073,156.173.170.140,M066,ATM,AC00261,USD,Completed,OK
TX000077,AC00007,162.63,2023-06-12 17:53:52,Debit,Kansas City,D000070,60.153.124.80,M060,Online,AC00447,USD,COMPLETED,OK
TX000078,AC00022,91.53,13/03/2023 16:32,Debit,Milwaukee,D000363,94.37.250.128,M095,Branch,AC00432,USD,Success,OK
TX000079,AC00464,120.29,2023-12-18 18:46:27,Debit,Miami,D000561,162.198.218.92,M045,Branch,AC00312,USD,completed,OK
TX000080,AC00014,174.25,2023-07-17 18:54:31,Debit,Seattle,D000375,130.92.201.49,M032,Online,AC00193,USD,COMPLETED,OK
TX000081,AC00406,183.71,2023-06-19 18:22:10,Debit,Denver,D000488,86.103.2.29,M074,ATM,AC00277,USD,completed,OK
TX000082,AC00445,345.39,2023-10-23 17:13:57,Credit,Phoenix,D000097,131.41.45.13,M081,Online,AC00474,USD,COMPLETED,OK
TX000083,AC00236,922.55,2023-01-23 16:32:48,Debit,Detroit,D000206,21.97.154.92,M004,ATM,AC00001,USD,Declined,Fondos insuficientes
TX000084,AC00220,259.91,11-06-2023,Debit,,D000616,36.13.239.172,M028,Online,AC00252,USD,Success,OK
TX000085,AC00140,154.71,2023-07-03 16:40:24,Debit,San Diego,D000494,167.104.180.235,M030,Online,AC00976,USD,COMPLETED,OK
TX000086,AC00098,1340.19,2023-09-29 17:22:10,Credit,Austin,D000574,165.114.224.47,M012,Online,AC00427,USD,Failed,Fondos insuficientes
TX000087,AC00303,24.56,2023-10-20 17:27:35,Debit,Mesa,D000428,16.131.3.140,M033,Branch,AC00123,USD,COMPLETED,OK
TX000088,AC00373,568.07,28-Aug-2023 05:03 PM,Debit,Washington,D000018,8.243.4.138,M054,,AC00950,USD,Success,OK
TX000089,AC00438,9.61,2023-06-22 18:37:29,Credit,San Diego,D000453,132.127.5.187,,Online,AC00041,USD,COMPLETED,OK
TX000090,AC00437,392.96,2023-11-20 16:28:09,Debit,Kansas City,D000141,186.54.68.246,M022,Online,AC00249,USD,declined,Fondos insuficientes
TX000091,AC00106,716.93,2023-09-14 16:49:33,Credit,Milwaukee,D000322,101.223.82.253,M052,Online,AC00391,USD,COMPLETED,OK
TX000092,AC00310,223.85,02-Oct-2023 04:36 PM,Debit,Kansas City,D000481,133.223.159.151,M009,ATM,AC00065,USD,Declined,Fondos insuficientes
TX000093,AC00149,230.66,03-27-2023,Debit,Houston,D000526,60.43.160.195,M049,Branch,AC00245,USD,Completed,OK
TX000094,AC00373,442.12,21-Dec-2023 04:37 PM,Debit,Los Angeles,D000645,168.36.49.167,M047,Online,AC00085,USD,declined,Fondos insuficientes
TX000095,AC00425,644.17,2023-03-02 16:05:09,Debit,San Antonio,D000178,165.38.56.205,M093,ATM,AC00448,USD,Success,OK
TX000096,AC00010,508.68,2023-06-26 16:16:50,Credit,Mesa,D000622,193.108.17.115,M048,Branch,AC00495,USD,Success,OK
TX000097,AC00348,858.63,2023-04-18 17:27:23,Credit,San Francisco,D000019,175.230.206.232,M002,Branch,AC00277,USD,FAILED,Fondos insuficientes
TX000098,AC00011,25.36,17-Jul-2023 05:08 PM,Debit,Louisville,D000192,62.152.134.92,M007,ATM,AC00355,USD,completed,OK
TX000099,AC00453,147.62,2023/09/01,Debit,Charlotte,D000093,149.84.108.18,M028,Branch,AC00160,USD,Success,OK
TX000100,AC00178,115.02,2023-09-11 16:19:04,Debit,San Antonio,D000528,134.222.122.238,M004,Branch,AC00345,USD,Success,OK
TX000101,AC00265,383.37,2023-01-24 17:23:56,Debit,,D000321,18.72.115.111,M066,Branch,AC00225,USD,COMPLETED,OK
TX000102,AC00018,98.54,2023-08-11 16:18:46,Credit,El Paso,D000528,34.125.226.63,M095,Online,AC00233,USD,completed,OK
TX000103,AC00075,83.24,2023-10-16 18:35:11,Credit,Fort Worth,D000607,21.28.32.1,M009,Branch,AC00117,USD,COMPLETED,OK
TX000104,AC00464,196.16,2023-02-24 16:29:23,Debit,Virginia Beach,D000164,204.34.243.93,M099,Branch,AC00511,USD,declined,Cuenta destino no existe
TX000105,AC00170,129.94,02/01/2023 16:36,Debit,Las Vegas,D000647,111.226.226.202,M045,ATM,AC00118,USD,Completed,OK
TX000106,AC00235,306.9,2023-11-30 16:31:03,Debit,Colorado Springs,D000078,96.115.67.230,M047,Online,AC00004,USD,completed,OK
TX000107,AC00013,114.98,2023-11-01 16:52:01,Debit,Seattle,D000182,115.218.48.83,M032,Online,AC00325,USD,Success,OK
TX000108,AC00397,756.59,2023-03-06 16:47:02,Debit,Sacramento,D000028,174.61.77.54,M012,Branch,AC00535,USD,completed,OK
TX000109,AC00423,503.76,2023-11-27 18:32:49,Debit,Los Angeles,D000518,216.151.64.40,M083,Online,AC00442,USD,Success,OK
TX000110,AC00154,143.03,31/07/2023 16:37,Debit,,D000469,197.162.55.147,M055,ATM,AC00265,USD,declined,Fondos insuficientes
TX000111,AC00068,1045.22,2023/11/22,Debit,Columbus,D000400,77.7.223.184,M077,ATM,AC00344,,completed,OK
TX000112,AC00318,245.54,21/03/2023 16:29,Debit,New York,D000536,44.197.126.59,M089,ATM,AC00277,USD,Success,OK
TX000113,AC00396,254.37,2023-04-20 18:26:50,Credit,Dallas,D000477,143.212.47.226,M012,Online,AC00480,USD,Success,OK
TX000114,AC00121,213.76,01/03/2023 17:52,Credit,Dallas,D000574,51.250.122.123,M009,ATM,AC00297,USD,completed,OK
TX000115,AC00336,327.86,10/02/2023 16:52,Debit,Fresno,D000655,188.124.181.12,M051,Online,AC00403,USD,Failed,Fondos insuficientes
TX000116,AC00468,2.5,2023-07-21 16:43:11,Debit,San Diego,D000673,44.73.3.217,M042,Online,AC00209,USD,FAILED,Fondos insuficientes
TX000117,AC00282,300.08,09-Oct-2023 05:02 PM,Credit,Austin,D000266,85.240.254.83,M040,Online,AC00050,,completed,OK
TX000118,AC00498,56.98,01-01-2024,Credit,Oklahoma City,D000256,101.90.40.193,M086,ATM,AC00182,USD,Completed,OK
TX000119,AC00085,407.65,07-Jul-2023 04:11 PM,Debit,Boston,D000544,98.255.160.110,M041,Online,AC00241,USD,declined,Fondos insuficientes
TX000120,AC00092,,05-22-2023,Debit,Fresno,D000663,124.6.134.78,M086,Branch,AC00028,USD,Success,OK
TX000121,AC00295,53.57,2023-08-16 16:17:12,Debit,Houston,D000489,45.64.74.86,M025,ATM,AC00332,USD,COMPLETED,OK
TX000122,AC00358,63.34,2023-11-17 16:02:02,Credit,Detroit,D000434,69.82.61.135,M028,Online,AC00207,USD,Completed,OK
TX000123,AC00311,317.87,2023-05-22 17:29:35,Debit,Detroit,D000314,79.227.202.117,M076,Online,AC00411,USD,completed,OK
TX000124,AC00066,331.65,25/08/2023 17:26,Debit,Portland,D000037,26.240.219.199,M006,Online,AC00129,USD,Success,OK
TX000125,AC00340,5.04,2023-11-27 16:38:34,Debit,Washington,D000021,63.67.150.226,M001,ATM,AC00275,USD,Success,OK
TX000126,AC00284,214.54,2023-08-04 17:46:44,Credit,Detroit,D000112,195.226.203.234,M026,Online,AC00217,USD,completed,OK
TX000127,AC00208,598.81,2023-09-04 16:48:35,Debit,Philadelphia,D000042,92.214.76.157,M081,Branch,AC00238,USD,Success,OK
TX000128,AC00176,841.28,2023-08-09 17:34:26,Debit,Tucson,D000276,101.223.82.253,M083,Online,AC00474,USD,Completed,OK
TX000129,AC00053,38.15,2023-09-07 16:07:40,Debit,Mesa,D000687,77.21.150.75,,Online,AC00415,USD,COMPLETED,OK
TX000130,AC00320,1036.66,2023-07-11 16:39:53,Debit,San Antonio,D000015,53.218.177.171,M062,Branch,AC00282,USD,completed,OK
TX000131,AC00382,124.72,2023-07-03 17:14:07,Debit,Oklahoma City,D000118,147.234.20.46,M004,Branch,AC00334,USD,Success,OK
TX000132,AC00384,302.45,2023-09-25 17:13:36,Credit,San Antonio,D000052,203.99.96.114,M059,Branch,AC00430,USD,completed,OK
TX000133,AC00203,208.04,2023-11-20 17:10:02,Debit,Louisville,D000339,65.27.212.129,M055,Online,AC00548,USD,Declined,Cuenta destino no existe
TX000134,AC00498,5.77,2023-11-17 17:27:07,Credit,Los Angeles,D000236,85.240.254.83,M098,Branch,AC00435,USD,Success,OK
TX000135,AC00349,381.33,,Debit,Albuquerque,D000635,62.251.170.72,M034,ATM,AC00209,USD,completed,OK
TX000136,AC00177,16.16,16-Oct-2023 04:59 PM,Debit,Milwaukee,D000465,161.177.41.214,M065,ATM,AC00110,USD,Success,OK
TX000137,AC00284,486.08,20/06/2023 17:21,Debit,Oklahoma City,D000170,138.87.180.254,M060,Online,AC00464,USD,COMPLETED,OK
TX000138,AC00272,336.39,2023-01-16 16:53:38,Debit,San Antonio,D000426,203.99.96.114,M003,Branch,AC00695,USD,declined,Cuenta destino no existe
TX000139,AC00405,997.43,2023-11-22 16:07:19,Debit,Seattle,D000661,100.4.40.132,M067,Online,AC00700,USD,FAILED,Cuenta destino no existe
TX000140,AC00385,234.57,2023-09-01 16:09:08,Debit,Chicago,D000553,45.182.28.148,M045,Online,AC00403,USD,FAILED,Fondos insuficientes
TX000141,AC00403,6.0,2023-10-23 18:38:15,Debit,Chicago,D000556,18.72.115.111,M090,Online,AC00147,USD,Declined,Fondos insuficientes
TX000142,AC00114,1049.92,2023-10-23 16:50:33,Debit,  DETROIT  ,D000522,121.67.144.20,M052,ATM,AC00492,USD,Success,OK
TX000143,AC00163,227.14,03-Jul-2023 05:42 PM,Debit,  CHARLOTTE  ,D000439,197.162.55.147,M057,ATM,AC00403,USD,Success,OK
TX000144,AC00108,233.74,2023/10/24,Credit,Oklahoma City,D000600,96.115.67.230,M030,Online,AC00369,USD,Declined,Fondos insuficientes
TX000145,AC00397,113.02,2023-09-25 16:54:22,Credit,Jacksonville,D000369,33.212.169.157,M019,Branch,AC00098,USD,Success,OK
TX000146,AC00434,45.85,2023-02-16 17:57:10,Debit,Los Angeles,D000241,163.129.70.210,M085,ATM,AC00497,USD,Completed,OK
TX000147,AC00385,973.39,2023-08-30 17:23:20,Debit,Sacramento,D000292,202.194.199.70,M026,Branch,AC00877,USD,FAILED,Cuenta destino no existe
TX000148,AC00161,514.95,2023-04-13 18:37:48,Debit,New York,D000109,23.92.205.75,M056,Online,AC00384,USD,Completed,OK
TX000149,AC00333,415.5,2023-07-28 16:29:23,Debit,Memphis,D000330,140.212.253.222,M077,ATM,AC00026,USD,completed,OK
TX000150,AC00279,265.76,2023-02-06 17:48:55,Debit,Philadelphia,D000158,3.157.63.220,M049,Online,,USD,COMPLETED,OK
TX000151,AC00072,69.4,24-Jul-2023 06:08 PM,Debit,Virginia Beach,D000413,216.151.64.40,M073,Online,AC00273,USD,completed,OK
TX000152,AC00242,332.93,2023-11-20 16:29:48,Credit,Albuquerque,D000548,113.115.81.178,M039,Branch,AC00493,USD,COMPLETED,OK
TX000153,AC00303,267.9,2023-10-09 16:52:47,Debit,San Antonio,D000605,216.32.4.105,M078,Online,AC00437,USD,Completed,OK
TX000154,AC00442,496.03,2023/11/03,Debit,San Francisco,D000070,210.160.90.52,M009,Branch,AC00305,USD,COMPLETED,OK
TX000155,AC00087,376.26,2023-02-15 16:41:11,Debit,,D000481,82.88.241.226,M081,ATM,AC00942,USD,Failed,Cuenta destino no existe
TX000156,AC00174,83.02,2023-09-04 17:59:51,Credit,Seattle,D000226,34.92.221.183,M058,Online,AC00062,USD,Success,OK
TX000157,AC00421,93.26,2023-07-27 16:22:52,Credit,New York,D000436,182.225.2.156,M092,Online,AC00292,USD,completed,OK
TX000158,AC00111,803.37,2023-04-17 16:08:34,Credit,Memphis,D000108,191.91.45.159,M030,Branch,AC00306,,Failed,Fondos insuficientes
TX000159,AC00275,35.76,2023-09-19 17:38:18,Debit,Charlotte,D000678,111.78.64.133,M057,Branch,AC00542,,Failed,Cuenta destino no existe
TX000160,AC00492,28.53,2023/05/31,Debit,Washington,D000310,215.97.143.157,M035,Online,AC00299,USD,COMPLETED,OK
TX000161,AC00380,139.53,09-Oct-2023 05:20 PM,Credit,Louisville,D000491,167.104.180.235,M002,Online,AC00162,USD,declined,Fondos insuficientes
TX000162,AC00227,307.57,09/01/2023 16:12,Debit,Detroit,D000076,128.16.32.183,M049,Branch,AC00105,USD,Success,OK
TX000163,AC00257,60.65,2023-05-26 18:15:08,Credit,Tucson,D000456,10.144.131.89,M085,Branch,AC00161,,completed,OK
TX000164,AC00062,74.86,2023-08-14 17:43:17,Debit,  NASHVILLE  ,D000115,161.168.126.136,M028,Branch,AC00204,USD,Completed,OK
TX000165,AC00383,117.97,2023-11-24 18:51:32,Debit,,D000281,198.39.35.23,M100,Branch,AC00331,,Completed,OK
TX000166,AC00182,231.91,01-31-2023,Debit,Memphis,D000371,161.71.2.223,M044,ATM,AC00162,USD,Success,OK
TX000167,AC00478,126.21,2023-02-14 16:07:01,Debit,Baltimore,D000001,141.121.30.32,M001,Branch,AC00481,USD,COMPLETED,OK
TX000168,AC00332,506.28,05-02-2023,Credit,Chicago,D000606,110.150.1.201,M010,Online,AC00235,USD,Completed,OK
TX000169,AC00202,,2023-12-04 17:07:34,Debit,Houston,D000281,183.39.94.209,M007,Branch,AC00290,USD,completed,OK
TX000170,AC00331,281.85,2023-05-16 17:26:37,Debit,Detroit,D000148,219.193.239.152,M013,ATM,AC00038,USD,Completed,OK
TX000171,AC00474,777.88,03-20-2023,Debit,Houston,D000436,139.23.212.102,M018,Branch,AC00260,,Success,OK
TX000172,AC00268,119.18,2023/08/25,Debit,  LOS ANGELES  ,D000309,7.105.184.86,M093,Branch,AC00479,USD,Declined,Fondos insuficientes
TX000173,AC00247,177.19,15-May-2023 05:25 PM,Debit,Chicago,D000666,130.92.201.49,M088,Online,AC00036,USD,Success,OK
TX000174,AC00298,260.88,05-29-2023,Debit,Denver,D000327,184.59.28.72,M094,Branch,AC00190,USD,FAILED,Fondos insuficientes
TX000175,AC00106,169.47,03-22-2023,Debit,Chicago,D000061,120.170.93.69,M046,Online,AC00226,USD,Success,OK
TX000176,AC00035,73.23,05-19-2023,Debit,Portland,D000059,155.37.19.43,M022,Branch,AC00362,USD,COMPLETED,OK
TX000177,AC00363,1362.55,2023-02-10 18:07:07,Debit,,D000213,93.52.44.101,M001,ATM,AC00415,USD,Success,OK
TX000178,AC00273,792.57,2023-05-22 16:22:36,Debit,,D000424,110.235.207.187,M059,ATM,AC00005,USD,completed,OK
TX000179,AC00156,237.06,2023-12-18 16:47:17,Debit,Phoenix,D000455,61.95.76.233,M049,Online,AC00285,USD,COMPLETED,OK
TX000180,AC00010,,2023-11-21 16:57:43,Credit,Philadelphia,D000036,177.116.108.246,,Online,AC00341,USD,Completed,OK
TX000181,AC00036,740.25,2023-07-19 17:03:58,Debit,Philadelphia,D000030,1.198.76.182,M010,Online,AC00451,USD,COMPLETED,OK
TX000182,AC00149,453.54,2023-04-19 16:36:03,Debit,Albuquerque,D000150,223.32.70.156,M017,ATM,AC00060,USD,Success,OK
TX000183,AC00225,300.47,2023-11-13 16:11:52,Debit,Jacksonville,D000272,156.173.170.140,M065,Branch,AC00382,USD,Success,OK
TX000184,AC00077,110.93,07/04/2023 16:38,Credit,Virginia Beach,D000142,101.223.82.253,M036,Branch,AC00141,USD,declined,Fondos insuficientes
TX000185,AC00440,201.69,2023/01/03,Debit,Las Vegas,D000626,193.108.17.115,,ATM,AC00108,USD,COMPLETED,OK
TX000186,AC00321,399.21,2023-01-30 16:15:49,Debit,Portland,D000301,30.229.179.194,M062,ATM,AC00105,USD,Success,OK
TX000187,AC00099,1041.88,2023/09/06,Debit,Jacksonville,D000208,32.240.176.64,M032,Online,AC00438,USD,Declined,Fondos insuficientes
TX000188,AC00258,630.36,2023/03/02,Debit,,D000091,200.22.195.243,M084,ATM,AC00251,USD,COMPLETED,OK
TX000189,AC00132,10.94,2023/10/23,Credit,Philadelphia,D000503,10.191.172.154,M083,ATM,AC00466,USD,COMPLETED,OK
TX000190,AC00113,215.9,2023-01-04 16:02:09,Debit,Los Angeles,D000414,147.119.62.178,M083,ATM,AC00048,USD,Completed,OK
TX000191,AC00396,1422.55,2023-07-10 17:49:18,Debit,Washington,D000569,188.124.181.12,M072,Branch,AC00426,USD,Success,OK
TX000192,AC00099,226.37,2023-09-18 17:07:08,Credit,Louisville,D000631,206.62.122.93,M041,Branch,AC00002,USD,declined,Fondos insuficientes
TX000193,AC00265,444.89,2023-09-11 16:27:39,Credit,Las Vegas,D000173,42.61.10.112,M060,Branch,AC00067,USD,COMPLETED,OK
TX000194,AC00047,280.57,2023-01-27 17:35:05,Credit,Virginia Beach,D000538,170.225.23.251,M017,Online,AC00136,USD,completed,OK
TX000195,AC00005,488.54,03/07/2023 17:47,Debit,Jacksonville,D000466,198.24.183.157,M036,Branch,AC00228,USD,Success,OK
TX000196,AC00363,3.3,27-Mar-2023 04:42 PM,Credit,Los Angeles,D000215,116.44.12.250,M085,Branch,AC00219,USD,Completed,OK
