reporte de registros invalidos del proceso etlL
============================================================

transacciones con ids nulos
------------------------------------------------------------
{'TransactionID': 'TX000023', 'AccountID': 'AC00095', 'AccountDestinoID': nan, 'TransactionAmount': 52.2, 'Currency': 'USD', 'TransactionDate': '06-Jun-2023 06:54 PM', 'TransactionStatus': 'Success', 'Motivo': 'OK'}
{'TransactionID': 'TX000669', 'AccountID': 'AC00049', 'AccountDestinoID': nan, 'TransactionAmount': 504.63, 'Currency': 'USD', 'TransactionDate': '2023-11-13 17:07:10', 'TransactionStatus': 'Success', 'Motivo': 'OK'}
{'TransactionID': 'TX000683', 'AccountID': 'AC00312', 'AccountDestinoID': nan, 'TransactionAmount': 10.07, 'Currency': 'USD', 'TransactionDate': '2023/01/17', 'TransactionStatus': 'FAILED', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000880', 'AccountID': 'AC00362', 'AccountDestinoID': nan, 'TransactionAmount': 52.95, 'Currency': 'USD', 'TransactionDate': '2023-08-07 18:02:59', 'TransactionStatus': 'completed', 'Motivo': 'OK'}
{'TransactionID': 'TX000902', 'AccountID': 'AC00363', 'AccountDestinoID': nan, 'TransactionAmount': 643.38, 'Currency': 'USD', 'TransactionDate': '06/11/2023 17:19', 'TransactionStatus': 'completed', 'Motivo': 'OK'}
{'TransactionID': 'TX000910', 'AccountID': 'AC00438', 'AccountDestinoID': nan, 'TransactionAmount': 120.86, 'Currency': 'USD', 'TransactionDate': '2023-11-16 17:57:45', 'TransactionStatus': 'declined', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000968', 'AccountID': 'AC00185', 'AccountDestinoID': nan, 'TransactionAmount': 21.41, 'Currency': 'USD', 'TransactionDate': '04/12/2023 16:27', 'TransactionStatus': 'declined', 'Motivo': 'Fondos insuficientes'}
{'TransactionID': 'TX001020', 'AccountID': 'AC00209', 'AccountDestinoID': nan, 'TransactionAmount': 428.61, 'Currency': 'USD', 'TransactionDate': '2023-10-09 16:00:26', 'TransactionStatus': 'Completed', 'Motivo': 'OK'}
{'TransactionID': 'TX001053', 'AccountID': 'AC00022', 'AccountDestinoID': nan, 'TransactionAmount': 168.0, 'Currency': 'USD', 'TransactionDate': '2023-08-24 16:01:40', 'TransactionStatus': 'Success', 'Motivo': 'OK'}
{'TransactionID': 'TX001159', 'AccountID': 'AC00108', 'AccountDestinoID': nan, 'TransactionAmount': 173.6, 'Currency': 'USD', 'TransactionDate': '11-28-2023', 'TransactionStatus': 'Completed', 'Motivo': 'OK'}
{'TransactionID': 'TX001251', 'AccountID': 'AC00326', 'AccountDestinoID': nan, 'TransactionAmount': 80.96, 'Currency': 'USD', 'TransactionDate': '2023-09-27 17:47:10', 'TransactionStatus': 'Completed', 'Motivo': 'OK'}
{'TransactionID': 'TX001288', 'AccountID': 'AC00261', 'AccountDestinoID': nan, 'TransactionAmount': 451.68, 'Currency': 'USD', 'TransactionDate': '18-Apr-2023 06:55 PM', 'TransactionStatus': 'Completed', 'Motivo': 'OK'}
{'TransactionID': 'TX001611', 'AccountID': 'AC00056', 'AccountDestinoID': nan, 'TransactionAmount': 142.55, 'Currency': 'USD', 'TransactionDate': '05-16-2023', 'TransactionStatus': 'Completed', 'Motivo': 'OK'}
{'TransactionID': 'TX001630', 'AccountID': 'AC00334', 'AccountDestinoID': nan, 'TransactionAmount': 378.2, 'Currency': 'USD', 'TransactionDate': '09/01/2023 17:12', 'TransactionStatus': 'Success', 'Motivo': 'OK'}
{'TransactionID': 'TX001656', 'AccountID': 'AC00292', 'AccountDestinoID': nan, 'TransactionAmount': 410.4, 'Currency': 'USD', 'TransactionDate': '2023/05/19', 'TransactionStatus': 'completed', 'Motivo': 'OK'}
{'TransactionID': 'TX001706', 'AccountID': 'AC00305', 'AccountDestinoID': nan, 'TransactionAmount': 14.08, 'Currency': 'USD', 'TransactionDate': '02-06-2023', 'TransactionStatus': 'Success', 'Motivo': 'OK'}
{'TransactionID': 'TX001741', 'AccountID': 'AC00495', 'AccountDestinoID': nan, 'TransactionAmount': 24.34, 'Currency': 'USD', 'TransactionDate': '11-29-2023', 'TransactionStatus': 'declined', 'Motivo': 'Fondos insuficientes'}
{'TransactionID': 'TX001803', 'AccountID': 'AC00401', 'AccountDestinoID': nan, 'TransactionAmount': 223.76, 'Currency': 'USD', 'TransactionDate': '08-11-2023', 'TransactionStatus': 'COMPLETED', 'Motivo': 'OK'}
{'TransactionID': 'TX001882', 'AccountID': 'AC00253', 'AccountDestinoID': nan, 'TransactionAmount': 767.66, 'Currency': 'USD', 'TransactionDate': '2023-05-08 17:44:34', 'TransactionStatus': 'Completed', 'Motivo': 'OK'}
{'TransactionID': 'TX002101', 'AccountID': 'AC00394', 'AccountDestinoID': nan, 'TransactionAmount': 139.52, 'Currency': 'USD', 'TransactionDate': '2023-09-22 18:02:42', 'TransactionStatus': 'Failed', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX002181', 'AccountID': 'AC00084', 'AccountDestinoID': nan, 'TransactionAmount': 498.59, 'Currency': 'USD', 'TransactionDate': '2023-10-23 18:41:35', 'TransactionStatus': 'COMPLETED', 'Motivo': 'OK'}
{'TransactionID': 'TX002201', 'AccountID': 'AC00219', 'AccountDestinoID': nan, 'TransactionAmount': 68.68, 'Currency': 'USD', 'TransactionDate': '2023-09-18 16:15:19', 'TransactionStatus': 'completed', 'Motivo': 'OK'}
{'TransactionID': 'TX002217', 'AccountID': 'AC00042', 'AccountDestinoID': nan, 'TransactionAmount': 114.15, 'Currency': 'USD', 'TransactionDate': '21/02/2023 16:47', 'TransactionStatus': 'completed', 'Motivo': 'OK'}
{'TransactionID': 'TX002363', 'AccountID': 'AC00003', 'AccountDestinoID': nan, 'TransactionAmount': 416.62, 'Currency': 'USD', 'TransactionDate': '2023-03-06 17:26:59', 'TransactionStatus': 'Success', 'Motivo': 'OK'}
{'TransactionID': 'TX002364', 'AccountID': 'AC00327', 'AccountDestinoID': nan, 'TransactionAmount': 21.9, 'Currency': 'USD', 'TransactionDate': '2023-04-10 17:04:28', 'TransactionStatus': 'Completed', 'Motivo': 'OK'}
{'TransactionID': 'TX002384', 'AccountID': 'AC00342', 'AccountDestinoID': nan, 'TransactionAmount': 331.38, 'Currency': 'USD', 'TransactionDate': '2023-05-30 17:13:38', 'TransactionStatus': 'Completed', 'Motivo': 'OK'}
{'TransactionID': 'TX002386', 'AccountID': 'AC00075', 'AccountDestinoID': nan, 'TransactionAmount': 64.12, 'Currency': 'USD', 'TransactionDate': '2023-08-10 17:12:55', 'TransactionStatus': 'completed', 'Motivo': 'OK'}


transacciones con fecha invalida
------------------------------------------------------------


transacciones con estado invalido
------------------------------------------------------------


transacciones con cuenta destino invalida
------------------------------------------------------------
{'TransactionID': 'TX000007', 'AccountID': 'AC00199', 'AccountDestinoID': 'AC00612', 'TransactionAmount': 7.08, 'Currency': 'USD', 'TransactionDate': '2023-02-15T16:36:48-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000009', 'AccountID': 'AC00135', 'AccountDestinoID': 'AC00602', 'TransactionAmount': 106.23, 'Currency': 'USD', 'TransactionDate': '2023-03-21T16:59:46-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000028', 'AccountID': 'AC00057', 'AccountDestinoID': 'AC00839', 'TransactionAmount': 40.32, 'Currency': 'USD', 'TransactionDate': '2023-03-29T00:00:00-05:00', 'TransactionStatus': 'COMPLETADA', 'Motivo': 'OK'}
{'TransactionID': 'TX000085', 'AccountID': 'AC00140', 'AccountDestinoID': 'AC00976', 'TransactionAmount': 154.71, 'Currency': 'USD', 'TransactionDate': '2023-07-03T16:40:24-05:00', 'TransactionStatus': 'COMPLETADA', 'Motivo': 'OK'}
{'TransactionID': 'TX000088', 'AccountID': 'AC00373', 'AccountDestinoID': 'AC00950', 'TransactionAmount': 568.07, 'Currency': 'USD', 'TransactionDate': '2023-08-28T17:03:00-05:00', 'TransactionStatus': 'COMPLETADA', 'Motivo': 'OK'}
{'TransactionID': 'TX000104', 'AccountID': 'AC00464', 'AccountDestinoID': 'AC00511', 'TransactionAmount': 196.16, 'Currency': 'USD', 'TransactionDate': '2023-02-24T16:29:23-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000108', 'AccountID': 'AC00397', 'AccountDestinoID': 'AC00535', 'TransactionAmount': 756.59, 'Currency': 'USD', 'TransactionDate': '2023-03-06T16:47:02-05:00', 'TransactionStatus': 'COMPLETADA', 'Motivo': 'OK'}
{'TransactionID': 'TX000133', 'AccountID': 'AC00203', 'AccountDestinoID': 'AC00548', 'TransactionAmount': 208.04, 'Currency': 'USD', 'TransactionDate': '2023-11-20T17:10:02-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000138', 'AccountID': 'AC00272', 'AccountDestinoID': 'AC00695', 'TransactionAmount': 336.39, 'Currency': 'USD', 'TransactionDate': '2023-01-16T16:53:38-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000139', 'AccountID': 'AC00405', 'AccountDestinoID': 'AC00700', 'TransactionAmount': 997.43, 'Currency': 'USD', 'TransactionDate': '2023-11-22T16:07:19-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000147', 'AccountID': 'AC00385', 'AccountDestinoID': 'AC00877', 'TransactionAmount': 973.39, 'Currency': 'USD', 'TransactionDate': '2023-08-30T17:23:20-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000155', 'AccountID': 'AC00087', 'AccountDestinoID': 'AC00942', 'TransactionAmount': 376.26, 'Currency': 'USD', 'TransactionDate': '2023-02-15T16:41:11-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000159', 'AccountID': 'AC00275', 'AccountDestinoID': 'AC00542', 'TransactionAmount': 35.76, 'Currency': 'USD', 'TransactionDate': '2023-09-19T17:38:18-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000203', 'AccountID': 'AC00499', 'AccountDestinoID': 'AC00687', 'TransactionAmount': 313.82, 'Currency': 'USD', 'TransactionDate': '2023-11-15T18:57:00-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000234', 'AccountID': 'AC00345', 'AccountDestinoID': 'AC00950', 'TransactionAmount': 91.48, 'Currency': 'USD', 'TransactionDate': '2023-01-23T16:50:00-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000237', 'AccountID': 'AC00177', 'AccountDestinoID': 'AC00806', 'TransactionAmount': 736.73, 'Currency': 'USD', 'TransactionDate': '2023-11-27T16:05:27-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000243', 'AccountID': 'AC00202', 'AccountDestinoID': 'AC00724', 'TransactionAmount': 173.5, 'Currency': 'USD', 'TransactionDate': '2023-10-23T17:16:20-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000311', 'AccountID': 'AC00386', 'AccountDestinoID': 'AC00709', 'TransactionAmount': 49.99, 'Currency': 'USD', 'TransactionDate': '2023-02-09T00:00:00-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000319', 'AccountID': 'AC00106', 'AccountDestinoID': 'AC00681', 'TransactionAmount': 301.85, 'Currency': 'USD', 'TransactionDate': '2023-04-18T00:00:00-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000327', 'AccountID': 'AC00471', 'AccountDestinoID': 'AC00673', 'TransactionAmount': 436.64, 'Currency': 'USD', 'TransactionDate': '2023-12-25T17:46:24-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000337', 'AccountID': 'AC00332', 'AccountDestinoID': 'AC00695', 'TransactionAmount': 98.53, 'Currency': 'USD', 'TransactionDate': '2023-01-16T16:31:48-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000348', 'AccountID': 'AC00034', 'AccountDestinoID': 'AC00516', 'TransactionAmount': 202.11, 'Currency': 'USD', 'TransactionDate': '2023-03-30T16:09:26-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000403', 'AccountID': 'AC00292', 'AccountDestinoID': 'AC00651', 'TransactionAmount': 712.75, 'Currency': 'USD', 'TransactionDate': '2023-05-26T17:07:56-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000424', 'AccountID': 'AC00262', 'AccountDestinoID': 'AC00528', 'TransactionAmount': 1096.7, 'Currency': 'USD', 'TransactionDate': '2023-03-27T16:51:20-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000434', 'AccountID': 'AC00475', 'AccountDestinoID': 'AC00752', 'TransactionAmount': 85.35, 'Currency': 'USD', 'TransactionDate': '2023-07-05T16:08:25-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000447', 'AccountID': 'AC00122', 'AccountDestinoID': 'AC00992', 'TransactionAmount': 21.4, 'Currency': 'USD', 'TransactionDate': '2023-12-26T00:00:00-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000477', 'AccountID': 'AC00442', 'AccountDestinoID': 'AC00618', 'TransactionAmount': 53.81, 'Currency': 'USD', 'TransactionDate': '2023-10-16T00:00:00-05:00', 'TransactionStatus': 'COMPLETADA', 'Motivo': 'OK'}
{'TransactionID': 'TX000505', 'AccountID': 'AC00052', 'AccountDestinoID': 'AC00637', 'TransactionAmount': 3.42, 'Currency': 'USD', 'TransactionDate': '2023-09-25T16:14:35-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000509', 'AccountID': 'AC00353', 'AccountDestinoID': 'AC00823', 'TransactionAmount': 127.0, 'Currency': 'USD', 'TransactionDate': '2023-09-15T17:09:00-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000563', 'AccountID': 'AC00216', 'AccountDestinoID': 'AC00536', 'TransactionAmount': 106.39, 'Currency': 'USD', 'TransactionDate': '2023-02-13T18:42:09-05:00', 'TransactionStatus': 'COMPLETADA', 'Motivo': 'OK'}
{'TransactionID': 'TX000571', 'AccountID': 'AC00424', 'AccountDestinoID': 'AC00667', 'TransactionAmount': 262.22, 'Currency': 'USD', 'TransactionDate': '2023-07-13T17:48:24-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000596', 'AccountID': 'AC00471', 'AccountDestinoID': 'AC00925', 'TransactionAmount': 346.11, 'Currency': 'USD', 'TransactionDate': '2023-01-04T17:00:17-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000598', 'AccountID': 'AC00274', 'AccountDestinoID': 'AC00943', 'TransactionAmount': 158.02, 'Currency': 'USD', 'TransactionDate': '2023-09-20T17:09:14-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000639', 'AccountID': 'AC00416', 'AccountDestinoID': 'AC00953', 'TransactionAmount': 655.15, 'Currency': 'USD', 'TransactionDate': '2023-01-02T16:22:00-05:00', 'TransactionStatus': 'COMPLETADA', 'Motivo': 'OK'}
{'TransactionID': 'TX000646', 'AccountID': 'AC00139', 'AccountDestinoID': 'AC00520', 'TransactionAmount': 50.83, 'Currency': 'USD', 'TransactionDate': '2023-12-18T16:06:14-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000670', 'AccountID': 'AC00023', 'AccountDestinoID': 'AC00903', 'TransactionAmount': 126.22, 'Currency': 'USD', 'TransactionDate': '2023-05-04T16:25:15-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000673', 'AccountID': 'AC00497', 'AccountDestinoID': 'AC00892', 'TransactionAmount': 8.37, 'Currency': 'USD', 'TransactionDate': '2023-01-12T16:21:27-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000686', 'AccountID': 'AC00071', 'AccountDestinoID': 'AC00636', 'TransactionAmount': 119.3, 'Currency': 'USD', 'TransactionDate': '2023-08-28T16:08:54-05:00', 'TransactionStatus': 'COMPLETADA', 'Motivo': 'OK'}
{'TransactionID': 'TX000687', 'AccountID': 'AC00370', 'AccountDestinoID': 'AC00880', 'TransactionAmount': 280.92, 'Currency': 'USD', 'TransactionDate': '2024-01-01T18:21:50-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000726', 'AccountID': 'AC00067', 'AccountDestinoID': 'AC00990', 'TransactionAmount': 1309.79, 'Currency': 'USD', 'TransactionDate': '2023-03-06T00:00:00-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000732', 'AccountID': 'AC00394', 'AccountDestinoID': 'AC00648', 'TransactionAmount': 230.32, 'Currency': 'USD', 'TransactionDate': '2023-05-15T18:15:00-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000752', 'AccountID': 'AC00045', 'AccountDestinoID': 'AC00880', 'TransactionAmount': 248.95, 'Currency': 'USD', 'TransactionDate': '2023-06-16T16:19:35-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000762', 'AccountID': 'AC00201', 'AccountDestinoID': 'AC00542', 'TransactionAmount': 384.1, 'Currency': 'USD', 'TransactionDate': '2023-05-24T18:32:58-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000771', 'AccountID': 'AC00324', 'AccountDestinoID': 'AC00703', 'TransactionAmount': 158.41, 'Currency': 'USD', 'TransactionDate': '2023-02-09T00:00:00-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000773', 'AccountID': 'AC00093', 'AccountDestinoID': 'AC00655', 'TransactionAmount': 827.14, 'Currency': 'USD', 'TransactionDate': '2023-01-17T00:00:00-05:00', 'TransactionStatus': 'COMPLETADA', 'Motivo': 'OK'}
{'TransactionID': 'TX000777', 'AccountID': 'AC00354', 'AccountDestinoID': 'AC00883', 'TransactionAmount': 176.11, 'Currency': 'USD', 'TransactionDate': '2023-08-10T00:00:00-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000821', 'AccountID': 'AC00339', 'AccountDestinoID': 'AC00760', 'TransactionAmount': 383.69, 'Currency': 'USD', 'TransactionDate': '2023-10-31T17:06:08-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000835', 'AccountID': 'AC00397', 'AccountDestinoID': 'AC00553', 'TransactionAmount': 193.82, 'Currency': 'USD', 'TransactionDate': '2023-04-20T17:52:00-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000917', 'AccountID': 'AC00272', 'AccountDestinoID': 'AC00970', 'TransactionAmount': 337.73, 'Currency': 'USD', 'TransactionDate': '2023-05-23T17:12:39-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000928', 'AccountID': 'AC00354', 'AccountDestinoID': 'AC00715', 'TransactionAmount': 148.0, 'Currency': 'USD', 'TransactionDate': '2023-01-23T16:48:16-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000940', 'AccountID': 'AC00157', 'AccountDestinoID': 'AC00770', 'TransactionAmount': 214.73, 'Currency': 'USD', 'TransactionDate': '2023-11-10T18:28:09-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000943', 'AccountID': 'AC00166', 'AccountDestinoID': 'AC00948', 'TransactionAmount': 446.39, 'Currency': 'USD', 'TransactionDate': '2023-12-12T17:41:00-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000952', 'AccountID': 'AC00017', 'AccountDestinoID': 'AC00780', 'TransactionAmount': 492.84, 'Currency': 'USD', 'TransactionDate': '2023-03-01T17:43:22-05:00', 'TransactionStatus': 'COMPLETADA', 'Motivo': 'OK'}
{'TransactionID': 'TX000965', 'AccountID': 'AC00297', 'AccountDestinoID': 'AC00832', 'TransactionAmount': 95.55, 'Currency': 'USD', 'TransactionDate': '2023-04-10T16:25:00-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX000986', 'AccountID': 'AC00278', 'AccountDestinoID': 'AC00946', 'TransactionAmount': 121.17, 'Currency': 'USD', 'TransactionDate': '2023-12-25T17:31:16-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX001076', 'AccountID': 'AC00078', 'AccountDestinoID': 'AC00726', 'TransactionAmount': 1156.18, 'Currency': 'USD', 'TransactionDate': '2023-09-21T16:11:47-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX001101', 'AccountID': 'AC00271', 'AccountDestinoID': 'AC00645', 'TransactionAmount': 346.76, 'Currency': 'USD', 'TransactionDate': '2023-12-29T16:32:00-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX001105', 'AccountID': 'AC00328', 'AccountDestinoID': 'AC00556', 'TransactionAmount': 3.8, 'Currency': 'USD', 'TransactionDate': '2023-08-01T16:13:25-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX001109', 'AccountID': 'AC00390', 'AccountDestinoID': 'AC00527', 'TransactionAmount': 43.65, 'Currency': 'USD', 'TransactionDate': '2023-10-30T16:23:34-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX001122', 'AccountID': 'AC00426', 'AccountDestinoID': 'AC00520', 'TransactionAmount': 303.97, 'Currency': 'USD', 'TransactionDate': '2023-02-02T16:55:25-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX001144', 'AccountID': 'AC00258', 'AccountDestinoID': 'AC00746', 'TransactionAmount': 189.03, 'Currency': 'USD', 'TransactionDate': '2023-04-20T17:54:10-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX001149', 'AccountID': 'AC00352', 'AccountDestinoID': 'AC00986', 'TransactionAmount': 349.34, 'Currency': 'USD', 'TransactionDate': '2023-01-09T16:53:25-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
{'TransactionID': 'TX001151', 'AccountID': 'AC00100', 'AccountDestinoID': 'AC00661', 'TransactionAmount': 151.82, 'Currency': 'USD', 'TransactionDate': '2023-07-17T00:00:00-05:00', 'TransactionStatus': 'COMPLETADA', 'Motivo': 'OK'}
{'TransactionID': 'TX001157', 'AccountID': 'AC00211', 'AccountDestinoID': 'AC00571', 'TransactionAmount': 917.81, 'Currency': 'USD', 'TransactionDate': '2023-08-30T00:00:00-05:00', 'TransactionStatus': 'COMPLETADA', 'Motivo': 'OK'}
{'TransactionID': 'TX001193', 'AccountID': 'AC00498', 'AccountDestinoID': 'AC00712', 'TransactionAmount': 841.5, 'Currency': 'USD', 'TransactionDate': '2023-05-22T16:33:16-05:00', 'TransactionStatus': 'RECHAZADA', 'Motivo': 'Cuenta destino no existe'}
